Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Western Europe
9.592,0.77,64.12,0.672,-0.168,0.699,0.619,0.242,False,True,False,False,False,False,False,False,False,False
10.669,0.937,72.6,0.841,-0.149,0.608,0.754,0.253,False,False,False,False,False,False,False,False,False,True
11.065,0.926,64.44,0.819,0.007,0.675,0.718,0.252,False,False,False,False,True,False,False,False,False,False
9.423,0.892,65.0,0.824,-0.084,0.929,0.582,0.27,False,True,False,False,False,False,False,False,False,False
10.745,0.935,69.9,0.924,-0.0065,0.598,0.796,0.26,False,False,False,False,False,False,False,False,False,True
10.037,0.831,66.08,0.791,0.264,0.755,0.736,0.317,False,False,False,False,False,False,False,True,False,False
10.191,0.909,64.3,0.729,-0.147,0.865,0.673,0.199,False,True,False,False,False,False,False,False,False,False
10.298,0.904,65.78,0.642,-0.217,0.663,0.597,0.218,True,False,False,False,False,False,False,False,False,False
8.696,0.747,66.88,0.853,-0.173,0.755,0.809,0.17,False,False,True,False,False,False,False,False,False,False
10.861,0.912,72.4,0.918,0.146,0.246,0.816,0.201,False,False,False,False,False,False,False,False,False,True
10.124,0.863,65.36,0.649,-0.024,0.764,0.483,0.377,False,False,False,False,True,False,False,False,False,False
8.274,0.709,47.1,0.739,-0.031,0.691,0.743,0.306,False,False,False,False,False,False,False,False,True,False
8.901,0.859,62.1,0.696,0.166,0.795,0.85,0.236,False,False,False,True,False,False,False,False,False,False
10.293,0.877,67.2,0.661,-0.139,0.886,0.735,0.181,True,False,False,False,False,False,False,False,False,False
9.826,0.913,70.6,0.855,0.024,0.825,0.58575,0.231,False,False,False,False,False,False,True,False,False,False
10.599,0.898,72.96,0.624,-0.065,0.92,0.716,0.356,False,False,False,False,False,False,False,False,False,True
10.312,0.867,71.4,0.788,-0.118,0.946,0.7,0.348,False,False,False,False,False,False,False,False,False,True
10.278,0.753,72.2,0.438,-0.29,0.872,0.603,0.333,False,False,False,False,False,False,False,False,False,True
10.814,0.921,71.98,0.941,0.161,0.269,0.815,0.179,False,False,False,False,False,False,False,False,False,True
8.534,0.894,65.94,0.85,0.017,0.644,0.803,0.255,False,False,False,True,False,False,False,False,False,False
7.258,0.827,51.6,0.819,-0.038,0.818,0.595,0.217,False,False,False,False,False,False,False,False,True,False
7.546,0.745,51.32,0.741,-0.016,0.765,0.63,0.287,False,False,False,False,False,False,False,False,True,False
9.42,0.901,64.6,0.663,-0.074,0.943,0.609,0.222,False,True,False,False,False,False,False,False,False,False
9.649,0.756,58.2,0.671,-0.194,0.867,0.626,0.372,False,False,False,False,False,False,False,False,True,False
10.864,0.957,71.4,0.921,0.349,0.399,0.853,0.206,False,False,False,False,False,False,False,False,False,True
8.08,0.79,64.7,0.784,-0.04,0.55,0.749,0.344,False,True,False,False,False,False,False,False,False,False
9.52,0.697,68.999,0.785,-0.03,0.901,0.669,0.3,True,False,False,False,False,False,False,False,False,False
8.397,0.685,54.86,0.679,0.04,0.898,0.76,0.152,False,False,False,False,False,False,False,False,True,False
9.913,0.887,68.9,0.802,0.06,0.845,0.603,0.411,True,False,False,False,False,False,False,False,False,False
10.887,0.944,71.54,0.939,0.132,0.703,0.789,0.145,False,False,False,False,False,False,False,False,False,True
10.146,0.798,69.0,0.672,-0.065,0.884,0.614,0.337,True,False,False,False,False,False,False,False,False,False
9.515,0.929,61.4,0.749,0.005,0.888,0.636,0.255,False,True,False,False,False,False,False,False,False,False
7.453,0.773,49.7,0.587,-0.036,0.767,0.59,0.217,False,False,False,False,False,False,False,False,True,False
9.668,0.91,65.28,0.785,-0.095,0.707,0.818,0.276,False,False,False,True,False,False,False,False,False,False
9.638,0.828,66.68,0.533,-0.1,0.908,0.529,0.403,True,False,False,False,False,False,False,False,False,False
7.695,0.836,50.7,0.696,-0.07,0.862,0.807,0.305,False,False,False,False,False,False,False,False,True,False
10.576,0.791,73.898,0.785,0.012,0.659,0.702,0.319,False,False,False,False,False,False,False,False,False,True
9.444,0.841,56.5,0.753,-0.05,0.841,0.812,0.283,False,False,False,False,False,False,False,False,True,False
10.476,0.929,73.26,0.759,-0.101,0.916,0.696,0.372,False,False,False,False,False,False,False,False,False,True
